Model,Device number,Seqlen,Pipeline parallelism,Tensor parallelism,Phase,Total Latency (s),Throughput (tokens/s),Energy per Token (mJ),Total power (W)
Llama2-7B,8,4096,1,8,decoding,2.421166395083333,1524.5119663461055,5.347493725660274,82.15790507713056
Llama2-7B,8,4096,1,8,end2end,2.6517039486666665,1611.900010409625,5.337114781805666,81.9984449023732
Llama2-7B,8,4096,1,8,prefill,0.2305375535833333,2223.616318854264,5.264462174823407,80.88222367907153
Llama2-7B,8,4096,2,4,decoding,2.397240613833333,3081.34762620254,2.673746862830137,82.15790507713056
Llama2-7B,8,4096,2,4,end2end,2.6243601986666665,3260.4701407377534,2.668557390902833,81.9984449023732
Llama2-7B,8,4096,2,4,prefill,0.2271195848333332,4514.327742484254,2.632231087411704,80.88222367907153
Llama2-7B,8,4096,4,2,decoding,2.365339572166667,6251.122454662809,1.3368734314150683,82.15790507713056
Llama2-7B,8,4096,4,2,end2end,2.587901865333333,6621.483648877684,1.3342786954514163,81.9984449023732
Llama2-7B,8,4096,4,2,prefill,0.2225622931666666,9214.012008381806,1.3161155437058518,80.88222367907153
Llama2-7B,8,4096,8,1,decoding,2.301537488833333,12872.151558804862,0.6684367157075343,82.15790507713056
Llama2-7B,8,4096,8,1,end2end,2.5149851986666665,13665.274779652696,0.6671393477257083,81.9984449023732
Llama2-7B,8,4096,8,1,prefill,0.2134477098333333,19217.137325587515,0.6580577718529259,80.88222367907153
Llama2-7B,8,4096,32,1,decoding,5.802284343138888,21594.190852457938,0.3186399482292395,60.160473563530566
Llama2-7B,8,4096,32,1,end2end,6.169808666444444,24510.765158341124,0.3183156062337829,60.09923652105789
Llama2-7B,8,4096,32,1,prefill,0.3675243233055555,44926.78529952344,0.3160452122655874,59.670577223749184
