Model_Phase,CENT Throughput,mountMIN Throughput,flyMIN Throughput
Llama2-7B_prefill,4018.9394689994247,4234.069360797589,4239.964086834195
Llama2-13B_prefill,2067.369123586887,2139.7894848575547,2160.419480330687
Llama2-70B_prefill,435.030305262333,438.5246753443503,440.26742525739263
Llama2-7B_decoding,2816.737791034536,2923.740574240803,2926.6311505843983
Llama2-13B_decoding,1524.816216974123,1564.6891646094632,1575.9293259228205
Llama2-70B_decoding,350.5829534306212,352.8733279252368,354.0131054416856
Llama2-7B_end2end,2967.0130007801463,3087.5316725604007,3090.797767615624
Llama2-13B_end2end,1592.635330300719,1636.5767046404746,1648.990595223804
Llama2-70B_end2end,361.138872409585,363.5797463526258,364.7948954186489
