Model,Baseline Latency (s),mountMIN Latency (s),flyMIN Latency (s)
Llama2-7B,2.652184346444445,0.9610544904444444,0.9157732104444444
Llama2-13B,4.5470271790000005,1.776947435,1.0758146349999995
Llama2-70B,14.377532292222222,8.117361540222221,5.125571460222222
Geomean,5.576202495313539,2.402218427877898,1.7156257599506108
