Model,CENT/GPU Normalized Throughput (Tokens/s)
Llama2-7B,0.3392785537996475
Llama2-13B,0.16730577560061077
Llama2-70B,0.1415650885072002
Llama2-7B,3.0485741151920815
Llama2-13B,1.6536509191215325
Llama2-70B,0.3860557311250661
Llama2-7B,2.848661536972925
Llama2-13B,1.5310961886943397
Llama2-70B,0.3626191803366291
Geomean,1.1651040171834766
