Config,Baseline Throughput,mountMIN Throughput,flyMIN Throughput
Llama2-7B prefill,49.42039574877853,136.383525911611,143.1271394545249
Llama2-13B prefill,70.23534930165657,154.2529720987429,159.03036616591777
Llama2-70B prefill,60.61903450244511,159.06027538798455,188.34675594908344
Llama2-7B decoding,49.420395748778525,136.383525911611,143.1271394545249
Llama2-13B decoding,70.23534930165656,154.2529720987429,159.03036616591777
Llama2-70B decoding,60.61903450244509,159.06027538798455,188.34675594908347
Llama2-7B end2end,49.42039574877853,136.383525911611,143.1271394545249
Llama2-13B end2end,70.23534930165657,154.2529720987429,159.03036616591777
Llama2-70B end2end,60.61903450244511,159.06027538798455,188.34675594908344
