CENT Throughput (Query/min),CENT Latency (min),GPU Throughput (Query/min),GPU Latency (min)
6.52037628107376,0.15336538213333334,0.47,2.1176666666666666
13.32354729443395,0.15011017379999997,0.91,2.1861666666666664
27.91848767299972,0.14327423629999997,1.76,2.266833333333333
59.05726752448249,0.13546173629999997,3.21,2.495166666666667
133.3338925393824,0.11999949671666665,5.02,3.184833333333333
2758.9856828479024,0.02899616351666667,8.42,3.802333333333333
,,12.36,5.178666666666667
,,15.02,8.521666666666667
