Model,Baseline Latency,mountMIN Latency,flyMIN Latency
Llama2-7B,14.9495,2.2520000000000002,1.917
Llama2-13B,9.7015,2.042,1.8519999999999999
Llama2-70B,13.0614999999999,2.9139999999999997,1.9485
Geomean,12.373318820294102,2.375223913943308,1.9054073454661218
