Model,CENT/GPU Normalized Token / J
Llama2-7B,0.37567033100721214
Llama2-13B,0.3687898561895806
Llama2-70B,0.564080131270976
Llama2-7B,4.248795555997405
Llama2-13B,4.342025196233154
Llama2-70B,1.84673750430716
Llama2-7B,3.8510712461228263
Llama2-13B,3.9373661321950495
Llama2-70B,1.6549082977308318
Geomean,2.9276585863285622
