Config,Baseline PIM,Baseline CXL,Baseline Acc,Baseline CPU,Mount PIM,Mount CXL,Mount Acc,Mount CPU,Fly PIM,Fly CXL,Fly Acc,Fly CPU
PP=80,4.374157824,0.00798173791666613,0.2773319679999999,0.010239999999999999,4.348188672,0.00798173791666613,0.24902041599999988,0.010239999999999999,4.34224128,0.00798173791666613,0.24902041599999988,0.010239999999999999
PP=16 TP=2,0.9247996586666667,0.10082642791666648,0.09244398933333325,0.010239999999999999,0.9180535466666666,0.10082642791666648,0.08300680533333325,0.010239999999999999,0.9176712533333333,0.10082642791666648,0.08300680533333325,0.010239999999999999
PP=8 TP=4,0.6504441173333332,0.1162886674999995,0.09244398933333325,0.010239999999999999,0.6436980053333332,0.1162886674999995,0.08300680533333325,0.010239999999999999,0.6433157119999999,0.1162886674999995,0.08300680533333325,0.010239999999999999
PP=4 TP=8,0.5139544746666667,0.12410116749999964,0.09244398933333325,0.010239999999999999,0.5072083626666667,0.12410116749999964,0.08300680533333325,0.010239999999999999,0.5068260693333334,0.12410116749999964,0.08300680533333325,0.010239999999999999
PP=2 TP=16,0.4553652906666666,0.13093710499999964,0.09244398933333325,0.010239999999999999,0.4486191786666666,0.13093710499999964,0.08300680533333325,0.010239999999999999,0.44823688533333333,0.13093710499999964,0.08300680533333325,0.010239999999999999
PP=1 TP=32,0.434808832,0.13419231333333295,0.09244398933333325,0.010239999999999999,0.42806271999999995,0.13419231333333295,0.08300680533333325,0.010239999999999999,0.4276804266666666,0.13419231333333295,0.08300680533333325,0.010239999999999999
