Config,Baseline PIM,Baseline CXL,Baseline Acc,Baseline CPU,Mount PIM,Mount CXL,Mount Acc,Mount CPU,Fly PIM,Fly CXL,Fly Acc,Fly CPU
PP=32,0.6579702442666667,0.0007042692407405227,0.07995391999999996,0.010239999999999999,0.6438024533333333,0.0007042692407405227,0.06653214719999996,0.010239999999999999,0.6430859264,0.0007042692407405227,0.06653214719999996,0.010239999999999999
PP=4 TP=2,0.11812099413333334,0.008321022555555538,0.01998847999999996,0.010239999999999999,0.11599653546666668,0.008321022555555538,0.016633036799999962,0.010239999999999999,0.11590915413333332,0.008321022555555538,0.016633036799999962,0.010239999999999999
PP=2 TP=4,0.09015241386666667,0.008928661444444378,0.01998847999999996,0.010239999999999999,0.08802795520000001,0.008928661444444378,0.016633036799999962,0.010239999999999999,0.08794057386666668,0.008928661444444378,0.016633036799999962,0.010239999999999999
PP=1 TP=8,0.07512173226666667,0.009384390611110899,0.01998847999999996,0.010239999999999999,0.0729972736,0.009384390611110899,0.016633036799999962,0.010239999999999999,0.07290989226666666,0.009384390611110899,0.016633036799999962,0.010239999999999999
