Model,Baseline Latency (s),mountMIN Latency (s),flyMIN Latency (s)
Llama2-7B,1.7387424126666664,1.3922453886666666,1.3860952446666666
Llama2-13B,3.024780790142857,2.4529300381428576,2.441258486142857
Llama2-70B,10.214558576,9.228465008,9.201922928
