Model,Device number,Seqlen,Pipeline parallelism,Tensor parallelism,Phase,Total Latency (s),Throughput (tokens/s),Energy per Token (mJ),Total power (W)
Llama2-13B,32,4096,2,16,prefill,0.99900387028125,1026.496900393127,261.6868111806436,499.7850921749771
Llama2-13B,32,4096,4,8,decoding,11.94521253396875,1240.724648253523,225.5103779702836,443.1467721204514
Llama2-13B,32,4096,4,8,end2end,13.05620669025,1316.3264527198908,224.2876254176566,470.8161844942736
Llama2-13B,32,4096,4,8,prefill,1.1109941562812498,1845.539083984466,215.72835754926768,664.5020711110286
Llama2-13B,32,4096,8,4,decoding,13.116516351125002,2255.4989686809167,170.5054446397899,570.7784486121049
Llama2-13B,32,4096,8,4,end2end,14.368391167,2382.922849157373,169.16141809995526,599.4357803950761
Llama2-13B,32,4096,8,4,prefill,1.251874815875,3274.8900124925726,159.75323232111265,800.037102875875
Llama2-13B,32,4096,16,2,decoding,15.618897873093752,3766.939034259016,148.35560149361643,753.4248491743838
Llama2-13B,32,4096,16,2,end2end,17.17535884925,3954.36411694295,146.75686415453686,780.1555873170649
Llama2-13B,32,4096,16,2,prefill,1.5564609761562502,5266.339695730489,135.56570278097968,967.270754315833
Llama2-13B,32,4096,32,1,decoding,21.079433526062505,5538.054738311827,144.78679739889492,969.0783615054164
Llama2-13B,32,4096,32,1,end2end,23.3101771955,5764.141978752389,142.672555143688,988.196762899964
Llama2-13B,32,4096,32,1,prefill,2.2307436694375,7346.752661836324,127.87285935723946,1122.0255726617988
Llama2-13B,32,4096,40,1,decoding,37.6656619813125,3886.083434429002,138.3010398222009,608.7067381985167
Llama2-13B,32,4096,40,1,end2end,41.5402107215,4061.4493284339687,136.4100560573937,621.5148430014897
Llama2-13B,32,4096,40,1,prefill,3.8745487401875,5289.010586468735,123.17316970374338,711.171576622301
Llama2-70B,8,4096,1,8,decoding,36.41423799416667,104.34706018392636,900.4635856133458,118.5207739055634
Llama2-70B,8,4096,1,8,end2end,39.28233023333333,113.66927748087956,892.8585098839525,126.9336769656797
Llama2-70B,8,4096,1,8,prefill,2.8680922391666663,178.924798559552,839.6229797781996,185.82399838649388
Llama2-70B,8,4096,2,4,decoding,43.60918803283334,171.7635541785834,799.1199448930282,165.117796578246
Llama2-70B,8,4096,2,4,end2end,47.42770417466667,183.85724001805704,791.1879154335882,173.26972051871243
Llama2-70B,8,4096,2,4,prefill,3.818516141833334,268.51304089437235,735.6637092175076,230.33318810197764
Llama2-70B,8,4096,4,2,decoding,58.07324042169444,253.70733892312288,752.9438751976276,217.8523795235608
Llama2-70B,8,4096,4,2,end2end,63.80319755622222,266.69697190132234,744.3190172386389,224.3320046319995
Llama2-70B,8,4096,4,2,prefill,5.729957134527776,357.6244027487188,683.9450115257196,269.6893803910706
Llama2-70B,8,4096,8,1,decoding,87.606000559875,331.9638157455374,744.0632678666989,268.147903653382
Llama2-70B,8,4096,8,1,end2end,97.245219017,343.5954188768455,734.033288578441,271.88182452767774
Llama2-70B,8,4096,8,1,prefill,9.639218457125,425.0166407960022,663.8234335606353,298.0192706477489
Llama2-70B,8,4096,80,1,decoding,826.6814433476943,350.5829534306212,677.5487284310738,254.08389126645264
Llama2-70B,8,4096,80,1,end2end,920.8624546602222,361.138872409585,672.0828180086645,257.772820607605
Llama2-70B,8,4096,80,1,prefill,94.1810113125278,435.030305262333,633.8214450517991,283.5953259956716
Llama2-70B,20,4096,1,20,decoding,35.09741045025,108.7923386102708,1303.5738575344635,200.56602571006545
Llama2-70B,20,4096,1,20,end2end,37.77738446885715,119.13680831198796,1295.8909397261607,219.7667587041404
Llama2-70B,20,4096,1,20,prefill,2.679974018607143,191.548096224008,1242.110515068041,354.1718896626643
Llama2-70B,20,4096,2,10,decoding,37.98883235900001,199.02296706133453,1043.1567081480025,280.8273477868665
Llama2-70B,20,4096,2,10,end2end,41.08186665028571,215.60987757904445,1035.538658738791,301.9474566538591
Llama2-70B,20,4096,2,10,prefill,3.0930342912857145,331.7182512030137,982.21231287431,449.7882187228079
Llama2-70B,20,4096,4,5,decoding,44.41009681025,336.618141796347,915.065549664872,392.7243514365245
Llama2-70B,20,4096,4,5,end2end,48.36238501742857,359.39148977883,907.2152586379436,413.6485134830786
Llama2-70B,20,4096,4,5,prefill,3.952288207178571,518.8049256562108,852.2632214494449,560.1176478089576
Llama2-70B,20,4096,5,4,decoding,45.524878137,409.7643081388511,799.1199448930282,412.7944914456149
Llama2-70B,20,4096,5,4,end2end,49.617064293714286,436.8294218688012,791.1879154335882,433.174301296781
Llama2-70B,20,4096,5,4,prefill,4.092186156714286,626.2852179784516,735.6637092175076,575.832970254944
Llama2-70B,20,4096,10,2,decoding,59.70545613349999,615.9838047713163,752.9438751976276,544.630948808902
Llama2-70B,20,4096,10,2,end2end,65.66858694114286,646.3687312308743,744.3190172386389,560.8300115799987
Llama2-70B,20,4096,10,2,prefill,5.963130807642857,859.0632164477803,683.9450115257196,674.2234509776763
Llama2-70B,20,4096,20,1,decoding,88.69364704424999,819.4430963432507,744.0632678666989,670.3697591334546
Llama2-70B,20,4096,20,1,end2end,98.4882435705714,847.7226038518617,734.033288578441,679.7045613191942
Llama2-70B,20,4096,20,1,prefill,9.794596526321428,1045.6791564121395,663.8234335606353,745.048176619372
Llama2-70B,20,4096,80,1,decoding,313.9416985375,923.561499262422,677.081484215652,672.5015860458269
Llama2-70B,20,4096,80,1,end2end,349.52250511714294,952.05809924869,671.818180076051,682.7675461915192
Llama2-70B,20,4096,80,1,prefill,35.580806579642854,1151.5342991525663,634.9750510988433,754.6292672113641
Llama2-70B,32,4096,1,32,decoding,37.341707522,101.44030474676326,1839.404987725637,290.8773290644222
Llama2-70B,32,4096,1,32,end2end,40.342295408,110.13404585551861,1831.6442278384247,320.71843077954145
Llama2-70B,32,4096,1,32,prefill,3.0005878860000004,170.9902336168061,1777.318908627938,529.6061427853759
Llama2-70B,32,4096,2,16,decoding,38.2566463965,197.4713889898228,1157.2958347463875,347.1475220746521
Llama2-70B,32,4096,2,16,end2end,41.38793983600001,213.7436567209367,1149.638864297721,378.658587404792
Llama2-70B,32,4096,2,16,prefill,3.1312934395000003,327.64953083873405,1096.0400711570571,599.2360447157707
Llama2-70B,32,4096,4,8,decoding,41.00001273375001,365.85637168600135,900.4635856133458,474.0830956222536
Llama2-70B,32,4096,4,8,end2end,44.523215650000004,392.8956576978521,892.8585098839525,507.7347078627188
Llama2-70B,32,4096,4,8,prefill,3.5232029162500003,582.1706597808069,839.6229797781996,743.2959935459755
Llama2-70B,32,4096,8,4,decoding,47.87595235575,620.9072894493746,799.1199448930282,660.471186312984
Llama2-70B,32,4096,8,4,end2end,52.304006257999994,659.0311972175705,791.1879154335882,693.0788820748496
Llama2-70B,32,4096,8,4,prefill,4.42805390225,925.8985515949416,735.6637092175076,921.3327524079104
Llama2-70B,32,4096,16,2,decoding,61.70862996162499,951.9516137599106,752.9438751976276,871.409518094243
Llama2-70B,32,4096,16,2,end2end,67.95792845899999,996.8949103570953,744.3190172386389,897.328018527998
Llama2-70B,32,4096,16,2,prefill,6.249298497374999,1311.497986537387,683.9450115257196,1078.7575215642823
Llama2-70B,32,4096,32,1,decoding,90.02848591143751,1291.1328955985489,744.0632678666989,1072.591614613528
Llama2-70B,32,4096,32,1,end2end,100.0137737045,1334.8816814928673,734.033288578441,1087.527298110711
Llama2-70B,32,4096,32,1,prefill,9.9852877930625,1641.1231827530978,663.8234335606353,1192.0770825909956
Llama2-70B,32,4096,80,1,decoding,252.860762072625,1145.9848913388746,699.104278067493,858.6044052323457
Llama2-70B,32,4096,80,1,end2end,281.74895304300003,1180.027349146375,693.3921930472245,870.8183617387147
Llama2-70B,32,4096,80,1,prefill,28.888190970375,1418.3245537988769,653.4075979053453,956.3160572832988
Llama2-7B,8,4096,1,8,decoding,6.379487291083332,586.4669535864572,100.26306899185408,90.1159112013444
Llama2-7B,8,4096,1,8,end2end,6.930207372666666,629.5869330518763,99.65979547132382,96.39700654209288
Llama2-7B,8,4096,1,8,prefill,0.5507200815833333,931.4267893098094,95.43688082761196,140.36467392733215
Llama2-7B,8,4096,2,4,decoding,7.185804325833331,1036.8158466750506,86.15968677683621,128.65914951527176
Llama2-7B,8,4096,2,4,end2end,7.834785542666666,1104.7108839232494,85.47879790449304,135.73045439445508
Llama2-7B,8,4096,2,4,prefill,0.6489812168333333,1579.976144660643,80.71257579809088,185.22958854873832
Llama2-7B,8,4096,4,2,decoding,8.704517812166667,1698.4490050242057,77.66491166631808,176.0719960697161
Llama2-7B,8,4096,4,2,end2end,9.536604073333333,1794.0543449912602,76.82100788245813,183.0392849204509
Llama2-7B,8,4096,4,2,prefill,0.8320862611666666,2463.291724760645,70.9136813954386,231.81030687559496
Llama2-7B,8,4096,8,1,decoding,11.866840016833333,2467.4737857592327,76.60220424497804,231.51082975838045
Llama2-7B,8,4096,8,1,end2end,13.082978542666668,2580.204942373016,75.4283267105235,236.8143035380676
Llama2-7B,8,4096,8,1,prefill,1.2161385258333337,3369.323038669498,67.21118396934166,273.9386199958775
Llama2-7B,8,4096,32,1,decoding,41.825257015138895,2816.737791034536,71.5682247574473,231.9194555800097
Llama2-7B,8,4096,32,1,end2end,45.90592181844445,2967.0130007801463,70.42730734702513,237.68552871457905
Llama2-7B,8,4096,32,1,prefill,4.080664803305555,4018.9394689994247,62.44088547406995,278.0480406565646
Llama2-7B,20,4096,1,20,decoding,6.7299525905,553.3790797944528,212.62780699081688,197.39106643159545
Llama2-7B,20,4096,1,20,end2end,7.330739143428571,590.9006674488887,212.00896505450464,212.70710029426783
Llama2-7B,20,4096,1,20,prefill,0.6007865529285714,853.55178102994,207.6770715003194,319.9193373329745
Llama2-7B,20,4096,2,10,decoding,6.780337993499999,1097.876775992051,123.05176825283408,221.4184879694778
Llama2-7B,20,4096,2,10,end2end,7.388322461142857,1171.4960428510574,122.44589999634016,237.20492018565287
Llama2-7B,20,4096,2,10,prefill,0.6079844676428571,1686.830910864101,118.20482220088276,347.70994569887847
Llama2-7B,20,4096,4,5,decoding,7.4082055050000015,2005.6312045378456,98.9994561525716,304.9883017280191
Llama2-7B,20,4096,4,5,end2end,8.093190071999999,2129.1086652313297,98.33797111818166,322.59148123984187
Llama2-7B,20,4096,4,5,prefill,0.684984567,2993.450890085715,93.70757587745206,445.81373782260096
Llama2-7B,20,4096,5,4,decoding,7.533135055000001,2463.51963711035,86.15968677683621,321.64787378817937
Llama2-7B,20,4096,5,4,end2end,8.23173494742857,2614.1693045798643,85.47879790449304,339.3261359861377
Llama2-7B,20,4096,5,4,prefill,0.6985998924285713,3668.716976866465,80.71257579809088,463.0739713718458
Llama2-7B,20,4096,10,2,decoding,9.001718333,4097.386164867855,77.66491166631808,440.1799901742901
Llama2-7B,20,4096,10,2,end2end,9.87626181142857,4317.56380376782,76.82100788245813,457.5982123011273
Llama2-7B,20,4096,10,2,prefill,0.8745434784285713,5858.807276067564,70.9136813954386,579.5257671889874
Llama2-7B,20,4096,20,1,decoding,12.063780121000004,6063.738797341192,76.60220424497804,578.777074395951
Llama2-7B,20,4096,20,1,end2end,13.308052947428571,6334.859862662766,75.4283267105235,592.0357588451687
Llama2-7B,20,4096,20,1,prefill,1.2442728264285716,8232.707319913781,67.21118396934166,684.8465499896934
Llama2-7B,20,4096,32,1,decoding,21.572907003500003,5452.801078027818,73.04698881335332,464.40274951575566
