Model,Device number,Seqlen,Pipeline parallelism,Tensor parallelism,Phase,Total Latency (s),Throughput (tokens/s),Energy per Token (mJ),Total power (W)
Llama2-13B,20,4096,5,4,end2end,2.286914413142857,8955.297969308253,3.253651742652316,229.64792085349487
Llama2-13B,20,4096,5,4,prefill,0.2858643016428571,8955.297969308253,3.196891893447426,225.64172031672976
Llama2-13B,20,4096,10,2,decoding,1.865552064625,19211.47132776715,1.6308801462693645,230.22023521589
Llama2-13B,20,4096,10,2,end2end,2.132059502428571,19211.471327767154,1.626825871326158,229.64792085349487
Llama2-13B,20,4096,10,2,prefill,0.2665074378035714,19211.471327767154,1.598445946723713,225.64172031672976
Llama2-13B,20,4096,20,1,decoding,1.6128665177500003,44442.61146917221,0.8154400731346823,230.22023521589
Llama2-13B,20,4096,20,1,end2end,1.8432760202857144,44442.61146917222,0.813412935663079,229.64792085349487
Llama2-13B,20,4096,20,1,prefill,0.2304095025357143,44442.61146917222,0.7992229733618565,225.64172031672976
Llama2-13B,20,4096,40,1,decoding,0.92938241675,154252.9720987429,0.4828834460535011,236.47573264128363
Llama2-13B,20,4096,40,1,end2end,1.0621513334285717,154252.9720987429,0.4818698773176995,235.9793718499998
Llama2-13B,20,4096,40,1,prefill,0.1327689166785714,154252.9720987429,0.4747748961670883,232.50484631101293
Llama2-13B,32,4096,1,32,decoding,2.9852420060312483,1200.572681464031,26.094082340309832,368.352376345424
Llama2-13B,32,4096,1,32,end2end,3.411705149749999,1200.572681464031,26.02921394121853,367.436673365592
Llama2-13B,32,4096,1,32,prefill,0.4264631437187499,1200.572681464031,25.57513514757941,361.0267525067676
Llama2-13B,32,4096,2,16,decoding,2.9211550919687483,2453.823838284819,13.047041170154916,368.352376345424
Llama2-13B,32,4096,2,16,end2end,3.338462962249999,2453.823838284819,13.014606970609265,367.436673365592
Llama2-13B,32,4096,2,16,prefill,0.4173078702812499,2453.823838284819,12.787567573789708,361.0267525067676
Llama2-13B,32,4096,4,8,decoding,2.7844363419687483,5148.618333958269,6.523520585077458,368.352376345424
Llama2-13B,32,4096,4,8,end2end,3.182212962249999,5148.618333958269,6.507303485304632,367.436673365592
Llama2-13B,32,4096,4,8,prefill,0.3977766202812499,5148.618333958269,6.393783786894852,361.0267525067676
Llama2-13B,32,4096,8,4,decoding,2.671216127124999,10733.687816889364,3.261760292538729,368.352376345424
Llama2-13B,32,4096,8,4,end2end,3.0528184309999995,10733.687816889364,3.253651742652316,367.436673365592
Llama2-13B,32,4096,8,4,prefill,0.3816023038749999,10733.687816889364,3.196891893447426,361.0267525067676
Llama2-13B,32,4096,16,2,decoding,2.434094545093749,23558.657618942805,1.6308801462693645,368.352376345424
Llama2-13B,32,4096,16,2,end2end,2.7818223372499995,23558.65761894281,1.626825871326158,367.436673365592
Llama2-13B,32,4096,16,2,prefill,0.3477277921562499,23558.65761894281,1.598445946723713,361.0267525067676
Llama2-13B,32,4096,32,1,decoding,1.9918948380625,57577.33681942571,0.8154400731346823,368.352376345424
Llama2-13B,32,4096,32,1,end2end,2.2764512434999995,57577.33681942572,0.813412935663079,367.436673365592
Llama2-13B,32,4096,32,1,prefill,0.2845564054374999,57577.33681942572,0.7992229733618565,361.0267525067676
Llama2-13B,32,4096,40,1,decoding,0.9788208933125,146461.93290260163,0.4828834460535011,236.47573264128363
Llama2-13B,32,4096,40,1,end2end,1.1186524495,146461.93290260166,0.4818698773176995,235.9793718499998
Llama2-13B,32,4096,40,1,prefill,0.1398315561874999,146461.93290260166,0.4747748961670883,232.50484631101293
Llama2-70B,8,4096,1,8,decoding,2.9593469861666657,1211.0779900948571,12.462428066052851,91.8787088325926
Llama2-70B,8,4096,1,8,end2end,3.382110841333333,1211.0779900948571,12.410533346779816,91.49611727204233
Llama2-70B,8,4096,1,8,prefill,0.4227638551666666,1211.0779900948571,12.047270311868523,88.81797634819026
Llama2-70B,8,4096,2,4,decoding,2.868201152833333,2499.1273687060407,6.2312140330264265,91.8787088325926
Llama2-70B,8,4096,2,4,end2end,3.2779441746666667,2499.12736870604,6.205266673389908,91.49611727204233
Llama2-70B,8,4096,2,4,prefill,0.4097430218333333,2499.12736870604,6.023635155934262,88.81797634819026
Llama2-70B,8,4096,4,2,decoding,2.6878083576944443,5333.713603114613,3.1156070165132133,91.8787088325926
Llama2-70B,8,4096,4,2,end2end,3.0717809802222225,5333.713603114611,3.102633336694954,91.49611727204233
Llama2-70B,8,4096,4,2,prefill,0.3839726225277778,5333.713603114611,3.011817577967131,88.81797634819026
Llama2-70B,8,4096,8,1,decoding,2.341264303875,12246.374726913698,1.5578035082566066,91.8787088325926
Llama2-70B,8,4096,8,1,end2end,2.675730633,12246.3747269137,1.551316668347477,91.49611727204233
Llama2-70B,8,4096,8,1,prefill,0.334466329125,12246.3747269137,1.5059087889835654,88.81797634819026
Llama2-70B,8,4096,80,1,decoding,7.102691347694445,40367.79665120463,0.4526026919046945,20.42845757959397
Llama2-70B,8,4096,80,1,end2end,8.117361540222221,40367.79665120464,0.4519540079137815,20.39917889073961
Llama2-70B,8,4096,80,1,prefill,1.0146701925277777,40367.79665120464,0.4474132199773903,20.194228068759006
Llama2-70B,20,4096,1,20,decoding,5.284379538249998,678.2253193696407,31.15607016513215,229.6967720814816
Llama2-70B,20,4096,1,20,end2end,6.039290900857142,678.2253193696406,31.026333366949544,228.7402931801058
Llama2-70B,20,4096,1,20,prefill,0.7549113626071428,678.2253193696406,30.11817577967131,222.04494087047564
Llama2-70B,20,4096,2,10,decoding,5.076860007,1411.896327674336,15.578035082566076,229.6967720814816
Llama2-70B,20,4096,2,10,end2end,5.802125722285714,1411.8963276743357,15.513166683474772,228.74029318010585
Llama2-70B,20,4096,2,10,prefill,0.7252657152857143,1411.8963276743357,15.059087889835656,222.04494087047564
Llama2-70B,20,4096,4,5,decoding,4.893754538250001,2929.4481134982584,7.7890175412830365,229.6967720814816
Llama2-70B,20,4096,4,5,end2end,5.592862329428572,2929.448113498257,7.756583341737386,228.7402931801058
Llama2-70B,20,4096,4,5,prefill,0.6991077911785715,2929.448113498257,7.529543944917828,222.04494087047564
Llama2-70B,20,4096,5,4,decoding,4.783891257000001,3745.9045445020647,6.2312140330264265,229.6967720814816
Llama2-70B,20,4096,5,4,end2end,5.467304293714286,3745.9045445020656,6.205266673389908,228.7402931801058
Llama2-70B,20,4096,5,4,prefill,0.6834130367142858,3745.9045445020656,6.023635155934262,222.04494087047564
Llama2-70B,20,4096,10,2,decoding,4.3200240695,8296.25007254835,3.1156070165132133,229.6967720814816
Llama2-70B,20,4096,10,2,end2end,4.9371703651428565,8296.250072548351,3.102633336694954,228.7402931801058
Llama2-70B,20,4096,10,2,prefill,0.6171462956428571,8296.250072548351,3.011817577967131,222.04494087047564
Llama2-70B,20,4096,20,1,decoding,3.42891078825,20904.597531562795,1.5578035082566066,229.6967720814816
Llama2-70B,20,4096,20,1,end2end,3.918755186571428,20904.5975315628,1.551316668347477,228.7402931801058
Llama2-70B,20,4096,20,1,prefill,0.4898443983214284,20904.5975315628,1.5059087889835654,222.04494087047564
Llama2-70B,20,4096,80,1,decoding,1.9116154655,149988.32410314583,0.6063324434199764,158.2287169676347
Llama2-70B,20,4096,80,1,end2end,2.1847033891428573,149988.32410314583,0.6047107334426937,157.80551499026456
Llama2-70B,20,4096,80,1,prefill,0.2730879236428571,149988.32410314583,0.5933587636017157,154.84310114867324
Llama2-70B,32,4096,1,32,decoding,8.074906881999999,443.8441275390053,49.84971226421141,367.5148353303704
Llama2-70B,32,4096,1,32,end2end,9.228465007999999,443.8441275390054,49.642133387119266,365.98446908816925
Llama2-70B,32,4096,1,32,prefill,1.153558126,443.8441275390054,48.18908124747409,355.271905392761
Llama2-70B,32,4096,2,16,decoding,7.9040084445,906.8816221961212,24.924856132105702,367.5148353303704
Llama2-70B,32,4096,2,16,end2end,9.033152507999999,906.8816221961212,24.82106669355963,365.98446908816925
Llama2-70B,32,4096,2,16,prefill,1.1291440635,906.8816221961212,24.094540623737046,355.271905392761
Llama2-70B,32,4096,4,8,decoding,7.54512172575,1900.0356152073844,12.462428066052851,367.5148353303704
Llama2-70B,32,4096,4,8,end2end,8.622996257999999,1900.035615207384,12.410533346779815,365.98446908816925
Llama2-70B,32,4096,4,8,prefill,1.07787453225,1900.035615207384,12.047270311868523,355.271905392761
Llama2-70B,32,4096,8,4,decoding,7.13496547575,4018.519794867839,6.2312140330264265,367.5148353303704
Llama2-70B,32,4096,8,4,end2end,8.154246257999999,4018.519794867839,6.205266673389908,365.98446908816925
Llama2-70B,32,4096,8,4,prefill,1.01928078225,4018.519794867839,6.023635155934262,355.271905392761
Llama2-70B,32,4096,16,2,decoding,6.3231978976250005,9068.82892618915,3.1156070165132133,367.5148353303704
Llama2-70B,32,4096,16,2,end2end,7.226511883,9068.828926189148,3.102633336694954,365.98446908816925
Llama2-70B,32,4096,16,2,prefill,0.903313985375,9068.828926189148,3.011817577967131,355.271905392761
Llama2-70B,32,4096,32,1,decoding,4.7637496554375,24075.152620392502,1.5578035082566066,367.5148353303704
Llama2-70B,32,4096,32,1,end2end,5.444285320499999,24075.152620392502,1.551316668347477,365.98446908816925
Llama2-70B,32,4096,32,1,prefill,0.6805356650624999,24075.152620392502,1.5059087889835654,355.271905392761
Llama2-70B,32,4096,80,1,decoding,1.802587096625,159060.27538798455,0.7028824342527272,241.20879692955629
Llama2-70B,32,4096,80,1,end2end,2.060099539,159060.27538798455,0.7006931257833957,240.4574899737116
Llama2-70B,32,4096,80,1,prefill,0.257512442375,159060.27538798455,0.6853679664980756,235.1983412827988
Llama2-7B,8,4096,1,8,decoding,1.2182147150833336,2942.01010349381,4.424619800925211,87.01659457452035
Llama2-7B,8,4096,1,8,end2end,1.3922453886666666,2942.01010349381,4.414240857070602,86.81247752262826
Llama2-7B,8,4096,1,8,prefill,0.1740306735833333,2942.01010349381,4.341588250088343,85.38365815938371
Llama2-7B,8,4096,2,4,decoding,1.1942889338333336,6001.897695721526,2.2123099004626057,87.01659457452035
Llama2-7B,8,4096,2,4,end2end,1.3649016386666668,6001.8976957215245,2.207120428535301,86.81247752262826
Llama2-7B,8,4096,2,4,prefill,0.1706127048333333,6001.8976957215245,2.170794125044172,85.38365815938371
Llama2-7B,8,4096,4,2,decoding,1.1623878921666666,12333.23238878375,1.1061549502313028,87.01659457452035
Llama2-7B,8,4096,4,2,end2end,1.328443305333333,12333.232388783745,1.1035602142676506,86.81247752262826
Llama2-7B,8,4096,4,2,prefill,0.1660554131666666,12333.232388783745,1.085397062522086,85.38365815938371
Llama2-7B,8,4096,8,1,decoding,1.0985858088333331,26099.00816982958,0.5530774751156513,87.01659457452035
Llama2-7B,8,4096,8,1,end2end,1.2555266386666668,26099.008169829576,0.5517801071338253,86.81247752262826
Llama2-7B,8,4096,8,1,prefill,0.1569408298333333,26099.008169829576,0.5426985312610428,85.38365815938371
Llama2-7B,8,4096,32,1,decoding,0.8409226791388887,136383.525911611,0.2146164703662256,95.30038648589064
Llama2-7B,8,4096,32,1,end2end,0.9610544904444444,136383.525911611,0.2142921283707691,95.15636250922256
Llama2-7B,8,4096,32,1,prefill,0.1201318113055555,136383.525911611,0.2120217344025736,94.14819467254598
Llama2-7B,20,4096,1,20,decoding,1.6851743504999996,2126.782904651147,11.061549502313031,217.5414864363009
Llama2-7B,20,4096,1,20,end2end,1.925913543428571,2126.782904651147,11.03560214267651,217.03119380657068
Llama2-7B,20,4096,1,20,prefill,0.2407391929285713,2126.782904651147,10.853970625220862,213.4591453984593
Llama2-7B,20,4096,2,10,decoding,1.6207212254999992,4422.722357935825,5.530774751156516,217.5414864363009
Llama2-7B,20,4096,2,10,end2end,1.8522528291428568,4422.722357935825,5.517801071338255,217.03119380657068
Llama2-7B,20,4096,2,10,prefill,0.2315316036428571,4422.722357935825,5.426985312610431,213.4591453984593
Llama2-7B,20,4096,4,5,decoding,1.5611509129999994,9182.96871918109,2.765387375578258,217.5414864363009
Llama2-7B,20,4096,4,5,end2end,1.7841724719999996,9182.968719181092,2.7589005356691274,217.03119380657068
Llama2-7B,20,4096,4,5,prefill,0.2230215589999999,9182.968719181092,2.7134926563052155,213.4591453984593
Llama2-7B,20,4096,5,4,decoding,1.5416196629999996,11624.138190562246,2.2123099004626057,217.5414864363009
Llama2-7B,20,4096,5,4,end2end,1.761851043428571,11624.138190562246,2.207120428535301,217.03119380657068
Llama2-7B,20,4096,5,4,prefill,0.2202313804285713,11624.138190562246,2.170794125044172,213.4591453984593
Llama2-7B,20,4096,10,2,decoding,1.4595884129999996,24554.867441250368,1.1061549502313028,217.5414864363009
Llama2-7B,20,4096,10,2,end2end,1.668101043428571,24554.86744125037,1.1035602142676506,217.03119380657068
Llama2-7B,20,4096,10,2,prefill,0.2085126304285713,24554.86744125037,1.085397062522086,213.4591453984593
Llama2-7B,20,4096,20,1,decoding,1.295525913,55328.88171569904,0.5530774751156513,217.5414864363009
Llama2-7B,20,4096,20,1,end2end,1.4806010434285717,55328.88171569903,0.5517801071338253,217.03119380657068
Llama2-7B,20,4096,20,1,prefill,0.1850751304285714,55328.88171569903,0.5426985312610428,213.4591453984593
Llama2-7B,20,4096,32,1,decoding,0.8138352594999996,140922.8694151952,0.324654913288,179.76462529789595
Llama2-7B,20,4096,32,1,end2end,0.9300974394285711,140922.8694151952,0.324006229297087,179.40544257867498
Llama2-7B,20,4096,32,1,prefill,0.1162621799285714,140922.8694151952,0.3194654413606958,176.8911635441284
Llama2-7B,32,4096,1,32,decoding,2.2789243505,1572.6717735117727,17.698479203700842,348.0663782980814
Llama2-7B,32,4096,1,32,end2end,2.604484972,1572.671773511773,17.65696342828241,347.249910090513
Llama2-7B,32,4096,1,32,prefill,0.3255606215,1572.671773511773,17.36635300035337,341.53463263753486
Llama2-7B,32,4096,2,16,decoding,2.126824741125,3370.282403339183,8.849239601850421,348.0663782980814
Llama2-7B,32,4096,2,16,end2end,2.430656847,3370.282403339183,8.828481714141205,347.249910090513
Llama2-7B,32,4096,2,16,prefill,0.303832105875,3370.282403339183,8.683176500176685,341.53463263753486
Llama2-7B,32,4096,4,8,decoding,2.075555209875,6907.067531517694,4.424619800925211,348.0663782980814
Llama2-7B,32,4096,4,8,end2end,2.372063097,6907.067531517692,4.414240857070602,347.249910090513
Llama2-7B,32,4096,4,8,prefill,0.296507887125,6907.067531517692,4.341588250088343,341.53463263753486
Llama2-7B,32,4096,8,4,decoding,1.96788919425,14569.926032307654,2.2123099004626057,348.0663782980814
Llama2-7B,32,4096,8,4,end2end,2.249016222,14569.92603230765,2.207120428535301,347.249910090513
Llama2-7B,32,4096,8,4,prefill,0.28112702775,14569.92603230765,2.170794125044172,341.53463263753486
Llama2-7B,32,4096,16,2,decoding,1.82433450675,31432.8319657543,1.1061549502313028,348.0663782980814
Llama2-7B,32,4096,16,2,end2end,2.084953722,31432.831965754303,1.1035602142676506,347.249910090513
Llama2-7B,32,4096,16,2,prefill,0.26061921525,31432.831965754303,1.085397062522086,341.53463263753486
Llama2-7B,32,4096,32,1,decoding,0.8196643761249999,139920.68380742942,0.5447871711156512,342.8490692987107
Llama2-7B,32,4096,32,1,end2end,0.9367592869999998,139920.68380742942,0.5434898031338251,342.0326010911424
Llama2-7B,32,4096,32,1,prefill,0.1170949108749999,139920.68380742942,0.5344082272610429,336.3173236381642
