Model,Device number,Seqlen,Pipeline parallelism,Tensor parallelism,Phase,Total Latency (s),Throughput (tokens/s),Energy per Token (mJ),Total power (W)
Llama2-13B,20,4096,5,4,end2end,2.275242861142857,9001.236900799624,2.9595232723182017,217.4201639963416
Llama2-13B,20,4096,5,4,prefill,0.2844053576428572,9001.236900799624,2.902763423113312,213.2503249422064
Llama2-13B,20,4096,10,2,decoding,1.855339456625,19317.2197529802,1.4838159111023077,218.0158552897895
Llama2-13B,20,4096,10,2,end2end,2.1203879504285714,19317.2197529802,1.4797616361591008,217.4201639963416
Llama2-13B,20,4096,10,2,prefill,0.2650484938035714,19317.2197529802,1.451381711556656,213.2503249422064
Llama2-13B,20,4096,20,1,decoding,1.6026539097500003,44725.81357954039,0.7419079555511537,218.0158552897895
Llama2-13B,20,4096,20,1,end2end,1.8316044682857144,44725.813579540365,0.7398808180795504,217.4201639963416
Llama2-13B,20,4096,20,1,prefill,0.2289505585357142,44725.813579540365,0.725690855778328,213.2503249422064
Llama2-13B,20,4096,40,1,decoding,0.90146305675,159030.36616591777,0.4090575678044276,220.87341674105173
Llama2-13B,20,4096,40,1,end2end,1.0302434934285714,159030.36616591777,0.4080439990686261,220.32613340638565
Llama2-13B,20,4096,40,1,prefill,0.1287804366785714,159030.36616591777,0.4009490179180149,216.49515006372303
Llama2-13B,32,4096,1,32,decoding,2.975029398031251,1204.6939779390889,23.74105457763692,348.8253684636631
Llama2-13B,32,4096,1,32,end2end,3.40003359775,1204.6939779390889,23.676186178545613,347.87226239414656
Llama2-13B,32,4096,1,32,prefill,0.42500419971875,1204.6939779390889,23.222107384906497,341.20051990753007
Llama2-13B,32,4096,2,16,decoding,2.910942483968751,2462.4327136231213,11.87052728881846,348.8253684636631
Llama2-13B,32,4096,2,16,end2end,3.32679141025,2462.432713623122,11.838093089272808,347.87226239414656
Llama2-13B,32,4096,2,16,prefill,0.41584892628125,2462.432713623122,11.611053692453249,341.20051990753007
Llama2-13B,32,4096,4,8,decoding,2.7742237339687508,5167.571679408568,5.93526364440923,348.8253684636631
Llama2-13B,32,4096,4,8,end2end,3.17054141025,5167.571679408567,5.919046544636403,347.87226239414656
Llama2-13B,32,4096,4,8,prefill,0.39631767628125,5167.571679408567,5.805526846226624,341.20051990753007
Llama2-13B,32,4096,8,4,decoding,2.6610035191250008,10774.882405803064,2.967631822204615,348.8253684636631
Llama2-13B,32,4096,8,4,end2end,3.041146879,10774.882405803064,2.9595232723182017,347.87226239414656
Llama2-13B,32,4096,8,4,prefill,0.380143359875,10774.882405803064,2.902763423113312,341.20051990753007
Llama2-13B,32,4096,16,2,decoding,2.4238819370937508,23657.917954847188,1.4838159111023077,348.8253684636631
Llama2-13B,32,4096,16,2,end2end,2.77015078525,23657.917954847184,1.4797616361591008,347.87226239414656
Llama2-13B,32,4096,16,2,prefill,0.34626884815625,23657.917954847184,1.451381711556656,341.20051990753007
Llama2-13B,32,4096,32,1,decoding,1.9816822300625,57874.06187539104,0.7419079555511537,348.8253684636631
Llama2-13B,32,4096,32,1,end2end,2.2647796915,57874.06187539103,0.7398808180795504,347.87226239414656
Llama2-13B,32,4096,32,1,prefill,0.2830974614375,57874.06187539103,0.725690855778328,341.20051990753007
Llama2-13B,32,4096,40,1,decoding,0.9509015333125,150762.19248548293,0.4090575678044276,220.87341674105173
Llama2-13B,32,4096,40,1,end2end,1.0867446094999995,150762.19248548293,0.4080439990686261,220.32613340638565
Llama2-13B,32,4096,40,1,prefill,0.1358430761874999,150762.19248548293,0.4009490179180149,216.49515006372303
Llama2-70B,8,4096,1,8,decoding,2.936122666166666,1220.6574477622853,11.40030886118178,88.21037497045639
Llama2-70B,8,4096,1,8,end2end,3.3555687613333336,1220.6574477622853,11.34841414190874,87.80883737162442
Llama2-70B,8,4096,1,8,prefill,0.4194460951666667,1220.6574477622853,10.985151106997446,84.99807417980074
Llama2-70B,8,4096,2,4,decoding,2.8449768328333342,2519.5284254252906,5.7001544305908896,88.21037497045639
Llama2-70B,8,4096,2,4,end2end,3.2514020946666675,2519.5284254252906,5.6742070709543695,87.80883737162442
Llama2-70B,8,4096,2,4,prefill,0.4064252618333334,2519.5284254252906,5.492575553498723,84.99807417980074
Llama2-70B,8,4096,4,2,decoding,2.6645840376944445,5380.201861602516,2.8500772152954448,88.21037497045639
Llama2-70B,8,4096,4,2,end2end,3.0452389002222224,5380.201861602516,2.8371035354771847,87.80883737162442
Llama2-70B,8,4096,4,2,prefill,0.3806548625277778,5380.201861602516,2.7462877767493614,84.99807417980074
Llama2-70B,8,4096,8,1,decoding,2.318039983875,12369.070507606104,1.4250386076477224,88.21037497045639
Llama2-70B,8,4096,8,1,end2end,2.649188553,12369.070507606108,1.4185517677385924,87.80883737162442
Llama2-70B,8,4096,8,1,prefill,0.331148569125,12369.070507606108,1.3731438883746807,84.99807417980074
Llama2-70B,8,4096,80,1,decoding,4.484875027694445,63930.43244894945,0.3001820940005039,22.84838590352444
Llama2-70B,8,4096,80,1,end2end,5.125571460222222,63930.43244894945,0.2995334100095909,22.79901126576275
Llama2-70B,8,4096,80,1,prefill,0.6406964325277777,63930.43244894945,0.2949926220731997,22.45338880143095
Llama2-70B,20,4096,1,20,decoding,5.261155218249999,681.2192097218023,28.50077215295445,220.52593742614096
Llama2-70B,20,4096,1,20,end2end,6.012748820857142,681.2192097218021,28.37103535477185,219.5220934290612
Llama2-70B,20,4096,1,20,prefill,0.7515936026071427,681.2192097218021,27.462877767493616,212.49518544950192
Llama2-70B,20,4096,2,10,decoding,5.053635687,1418.3847914559817,14.25038607647723,220.52593742614104
Llama2-70B,20,4096,2,10,end2end,5.775583642285713,1418.3847914559817,14.185517677385928,219.5220934290612
Llama2-70B,20,4096,2,10,prefill,0.7219479552857141,1418.3847914559817,13.731438883746812,212.49518544950195
