Model,Device number,Seqlen,Pipeline parallelism,Tensor parallelism,Phase,Total Latency (s),Throughput (tokens/s),Energy per Token (mJ),Total power (W)
Llama2-13B,20,4096,1,20,prefill,0.8196735347678572,625.9752187890631,324.9571999771805,328.31026033398894
Llama2-13B,20,4096,2,10,decoding,10.043570003375,748.7594686490877,194.8338334673544,220.98585638567167
Llama2-13B,20,4096,2,10,end2end,10.882900941,807.9780505084559,193.60702663978407,237.9447882112832
Llama2-13B,20,4096,2,10,prefill,0.8393309376249999,1222.5081235240327,185.0193788467928,356.657310990564
Llama2-13B,20,4096,4,5,decoding,11.19344119975,1337.208695639418,166.8050108804447,316.76239456332684
Llama2-13B,20,4096,4,5,end2end,12.177203108285712,1430.669234722205,165.49130283741198,335.6369190518485
Llama2-13B,20,4096,4,5,prefill,0.983761908535714,2084.8930083017112,156.29534653618285,467.7585904715003
Llama2-13B,20,4096,5,4,decoding,11.9658792955,1555.5518832565165,170.20064850828263,365.1841159341733
Llama2-13B,20,4096,5,4,end2end,13.053377389142856,1655.7183590440168,168.856621968448,384.2412745078384
Llama2-13B,20,4096,5,4,prefill,1.0874980936428569,2356.8836895565173,159.44843618960545,517.641384523495
Llama2-13B,20,4096,10,2,decoding,14.569884352624996,2533.9582057135594,148.05080536210923,478.8584879821064
Llama2-13B,20,4096,10,2,end2end,15.976486254428572,2672.540449432945,146.4520680230296,496.3759614375345
Llama2-13B,20,4096,10,2,prefill,1.4066019018035714,3642.616155468646,135.26090664947245,618.9982756255313
Llama2-13B,20,4096,20,1,decoding,20.219934165750004,3614.11810461455,144.4820012673877,611.8348303616904
Llama2-13B,20,4096,20,1,end2end,22.32789221228572,3769.771881864349,142.36775901218076,624.1999532901077
Llama2-13B,20,4096,20,1,prefill,2.107958046535715,4859.348322612944,127.56806322573226,710.7558137890296
Llama2-13B,20,4096,40,1,decoding,36.53030734475001,4012.281369170815,137.9912155107831,617.6517201341576
Llama2-13B,20,4096,40,1,end2end,40.242662565428574,4200.794293823614,136.10023174597592,631.0730581368506
Llama2-13B,20,4096,40,1,prefill,3.712355220678571,5520.384766393207,122.8633453923256,725.0224241557016
Llama2-13B,32,4096,1,32,decoding,10.570301846031253,353.96901289604995,465.0535337697644,280.8176043785623
Llama2-13B,32,4096,1,32,end2end,11.48488018975,379.8206513928467,463.7821299178189,306.07147195991803
Llama2-13B,32,4096,1,32,prefill,0.91457834371875,560.7821208704241,454.8823029542007,482.8485450294083
Llama2-13B,32,4096,2,16,decoding,10.680809491968748,699.9563481599243,271.2937722683349,317.3273676923776
Llama2-13B,32,4096,2,16,end2end,11.61117464225,750.2704700296632,270.0548026159351,343.679932825702
Llama2-13B,32,4096,2,16,prefill,0.93036515028125,1102.469323117835,261.3820150491364,528.1478887589732
Llama2-13B,32,4096,4,8,decoding,11.464741493968749,1296.5925292449872,225.2055818387764,455.9446316919634
Llama2-13B,32,4096,4,8,end2end,12.50709693025,1380.4405288639562,223.9828292861494,485.7289267562443
