Model,Device number,Seqlen,Pipeline parallelism,Tensor parallelism,Phase,Total Latency (s),Throughput (tokens/s),Energy per Token (mJ),Total power (W)
Llama2-13B,20,4096,10,2,decoding,14.560709312625,2535.6539414684294,147.9773366915908,479.0268088442159
Llama2-13B,20,4096,10,2,end2end,15.96600049442857,2674.449520071418,146.37859935251117,496.5719624209162
Llama2-13B,20,4096,10,2,prefill,1.4052911818035716,3646.0185702923454,135.18743797895402,619.3880374578175
Llama2-13B,20,4096,20,1,decoding,20.21075912575,3615.823858776452,144.40853259686926,611.8583963261799
Llama2-13B,20,4096,20,1,end2end,22.31740645228572,3771.642586241988,142.29429034166233,624.2327850458225
Llama2-13B,20,4096,20,1,prefill,2.106647326535715,4862.373678500739,127.49459455521384,710.8535060833218
Llama2-13B,20,4096,40,1,decoding,36.50392910475001,4015.313129953269,137.91742383702407,617.8363396397287
Llama2-13B,20,4096,40,1,end2end,40.212516005428576,4204.1491819229705,136.02644007221687,631.2786531442796
Llama2-13B,20,4096,40,1,prefill,3.708586900678571,5526.001545710883,122.7895537185666,725.3748476761361
Llama2-13B,32,4096,1,32,decoding,10.56112680603125,354.3046352331689,464.9800650992461,281.2366466084728
Llama2-13B,32,4096,1,32,end2end,11.474394429750005,380.21527175947097,463.7086612473005,306.59326952040124
Llama2-13B,32,4096,1,32,prefill,0.9132676237187498,561.589727443585,454.80883428368224,484.0896299039001
Llama2-13B,32,4096,2,16,decoding,10.671634451968748,700.6118822059265,271.2203035978165,317.7463646043473
Llama2-13B,32,4096,2,16,end2end,11.60068888225,751.0391315138286,269.98133394541674,344.19956663198536
Llama2-13B,32,4096,2,16,prefill,0.92905443028125,1104.0298766691435,261.308546378618,529.3719808254522
Llama2-13B,32,4096,4,8,decoding,11.45556645396875,1297.710215797066,225.132113168258,456.4139042998296
Llama2-13B,32,4096,4,8,end2end,12.49661117025,1381.7289513877083,223.909360615631,486.2895095113525
Llama2-13B,32,4096,4,8,prefill,1.0410447162812502,1969.860100522205,215.3500927472421,695.4187459920125
Llama2-13B,32,4096,8,4,decoding,12.626870271124996,2349.048345499328,170.12717983776426,584.7086180606556
Llama2-13B,32,4096,8,4,end2end,13.808795646999998,2489.0536748785007,168.78315329792963,615.273077454956
Llama2-13B,32,4096,8,4,prefill,1.181925375875,3469.090980532711,159.37496751908702,829.2242932150596
Llama2-13B,32,4096,16,2,decoding,15.12925179309375,3895.6928098757808,147.9773366915908,766.4428941507456
Llama2-13B,32,4096,16,2,end2end,16.61576332925,4098.039301373123,146.37859935251117,794.5151398734658
Llama2-13B,32,4096,16,2,prefill,1.48651153615625,5514.464741854519,135.18743797895402,991.020859932508
Llama2-13B,32,4096,32,1,decoding,20.589787446062505,5674.716020732206,144.40853259686926,978.973434121888
Llama2-13B,32,4096,32,1,end2end,22.750581675500005,5913.467053552937,142.29429034166233,998.7724560733166
Llama2-13B,32,4096,32,1,prefill,2.1607942294375,7584.724283298062,127.49459455521384,1137.3656097333153
Llama2-13B,32,4096,40,1,decoding,36.5533675813125,4009.634792524285,137.91742383702407,617.8363396397287
Llama2-13B,32,4096,40,1,end2end,40.2690171215,4197.865924602807,136.02644007221687,631.2786531442796
Llama2-13B,32,4096,40,1,prefill,3.715649540187501,5515.483849152466,122.7895537185666,725.3748476761361
Llama2-70B,8,4096,1,8,decoding,35.54454455416667,107.23840276713884,899.7836524747539,120.18117685696036
Llama2-70B,8,4096,1,8,end2end,38.28839487333333,117.21691827247604,892.1785767453607,128.91780460468686
Llama2-70B,8,4096,1,8,prefill,2.743850319166667,187.06652680983643,838.9430466396079,190.0741988387724
Llama2-70B,8,4096,2,4,decoding,42.73949459283334,175.5972381292434,798.4400117544366,166.85019974706782
Llama2-70B,8,4096,2,4,end2end,46.43376881466668,188.3435930917421,790.5079822949965,175.2374339867764
Llama2-70B,8,4096,2,4,prefill,3.6942742218333335,277.56807782923283,734.9837760789159,233.9480736647365
Llama2-70B,8,4096,4,2,decoding,57.20354698169445,257.7898088151672,752.2639420590358,219.3494082898532
Llama2-70B,8,4096,4,2,end2end,62.80926219622223,271.2610897205526,743.6390841000473,225.9587866440269
