trace_16_channels_per_block_seqlen_1024.txt.log	0.001852	0.00181975	3.225e-05	99.94600431965442	512	64	384	0	0	0	0	0	0	0	64	0	0	0	0	20480	0	5120	0	0	0	0	0	0	0	0	
trace_16_channels_per_block_seqlen_1152.txt.log	0.001852	0.00181975	3.225e-05	99.94600431965442	512	64	384	0	0	0	0	0	0	0	64	0	0	0	0	20480	0	5120	0	0	0	0	0	0	0	0	
trace_16_channels_per_block_seqlen_1280.txt.log	0.001852	0.00181975	3.225e-05	99.94600431965442	512	64	384	0	0	0	0	0	0	0	64	0	0	0	0	20480	0	5120	0	0	0	0	0	0	0	0	
trace_16_channels_per_block_seqlen_128.txt.log	0.001852	0.00181975	3.225e-05	99.94600431965442	512	64	384	0	0	0	0	0	0	0	64	0	0	0	0	20480	0	5120	0	0	0	0	0	0	0	0	
trace_16_channels_per_block_seqlen_1408.txt.log	0.001852	0.00181975	3.225e-05	99.94600431965442	512	64	384	0	0	0	0	0	0	0	64	0	0	0	0	20480	0	5120	0	0	0	0	0	0	0	0	
trace_16_channels_per_block_seqlen_1536.txt.log	0.001852	0.00181975	3.225e-05	99.94600431965442	512	64	384	0	0	0	0	0	0	0	64	0	0	0	0	20480	0	5120	0	0	0	0	0	0	0	0	
trace_16_channels_per_block_seqlen_1664.txt.log	0.001852	0.00181975	3.225e-05	99.94600431965442	512	64	384	0	0	0	0	0	0	0	64	0	0	0	0	20480	0	5120	0	0	0	0	0	0	0	0	
trace_16_channels_per_block_seqlen_1792.txt.log	0.001852	0.00181975	3.225e-05	99.94600431965442	512	64	384	0	0	0	0	0	0	0	64	0	0	0	0	20480	0	5120	0	0	0	0	0	0	0	0	
trace_16_channels_per_block_seqlen_1920.txt.log	0.001852	0.00181975	3.225e-05	99.94600431965442	512	64	384	0	0	0	0	0	0	0	64	0	0	0	0	20480	0	5120	0	0	0	0	0	0	0	0	
trace_16_channels_per_block_seqlen_2048.txt.log	0.001852	0.00181975	3.225e-05	99.94600431965442	512	64	384	0	0	0	0	0	0	0	64	0	0	0	0	20480	0	5120	0	0	0	0	0	0	0	0	
trace_16_channels_per_block_seqlen_2176.txt.log	0.001852	0.00181975	3.225e-05	99.94600431965442	512	64	384	0	0	0	0	0	0	0	64	0	0	0	0	20480	0	5120	0	0	0	0	0	0	0	0	
trace_16_channels_per_block_seqlen_2304.txt.log	0.001852	0.00181975	3.225e-05	99.94600431965442	512	64	384	0	0	0	0	0	0	0	64	0	0	0	0	20480	0	5120	0	0	0	0	0	0	0	0	
trace_16_channels_per_block_seqlen_2432.txt.log	0.001852	0.00181975	3.225e-05	99.94600431965442	512	64	384	0	0	0	0	0	0	0	64	0	0	0	0	20480	0	5120	0	0	0	0	0	0	0	0	
trace_16_channels_per_block_seqlen_2560.txt.log	0.001852	0.00181975	3.225e-05	99.94600431965442	512	64	384	0	0	0	0	0	0	0	64	0	0	0	0	20480	0	5120	0	0	0	0	0	0	0	0	
trace_16_channels_per_block_seqlen_256.txt.log	0.001852	0.00181975	3.225e-05	99.94600431965442	512	64	384	0	0	0	0	0	0	0	64	0	0	0	0	20480	0	5120	0	0	0	0	0	0	0	0	
trace_16_channels_per_block_seqlen_2688.txt.log	0.001852	0.00181975	3.225e-05	99.94600431965442	512	64	384	0	0	0	0	0	0	0	64	0	0	0	0	20480	0	5120	0	0	0	0	0	0	0	0	
