Model,Device number,Channels per device,Channels per block,Seqlen,Pipeline parallelism,Tensor parallelism,Phase,Total Latency (s),Throughput (tokens/s),Energy per Token (mJ),Total power (W)
Llama2-7B,8,32,32,4096,2,4,decoding,2.5641815418333334,2869.4695313836705,5.85391679584148,106.18772304167535
Llama2-7B,8,32,32,4096,2,4,end2end,2.8151498306666665,3021.337354631846,5.848727323914176,106.09358808435236
Llama2-7B,8,32,32,4096,2,4,prefill,0.2509682888333333,4084.412117369074,5.812401020423047,105.43464338309111
Llama2-7B,8,32,32,4096,4,2,decoding,2.5322805001666664,5815.227470061521,2.92695839792074,106.18772304167535
Llama2-7B,8,32,32,4096,4,2,end2end,2.778691497333333,6128.352175116327,2.924363661957088,106.09358808435236
Llama2-7B,8,32,32,4096,4,2,prefill,0.2464109971666666,8320.225110499972,2.906200510211524,105.43464338309111
Llama2-7B,8,32,32,4096,8,1,decoding,2.4684784168333334,11948.46928281205,1.46347919896037,106.18772304167535
Llama2-7B,8,32,32,4096,8,1,end2end,2.705774830666667,12615.043507537524,1.462181830978544,106.09358808435236
Llama2-7B,8,32,32,4096,8,1,prefill,0.2372964138333333,17281.06308061586,1.4531002551057617,105.43464338309111
Llama2-7B,20,32,16,4096,32,1,decoding,0.8422346868749998,36276.45700021688,0.8418706398076363,212.72789382378687
Llama2-7B,20,32,16,4096,32,1,end2end,0.9048822478571428,39948.65389556766,0.8412219558167233,212.56398125501545
Llama2-7B,20,32,16,4096,32,1,prefill,0.0626475609821428,65654.03216302315,0.8366811678803322,211.4165932736153
Llama2-7B,32,32,32,4096,32,1,decoding,0.5473892460312499,54317.10514629424,1.4551888949603702,422.3447670760035
Llama2-7B,32,32,32,4096,32,1,end2end,0.5967518697499999,57917.01717014658,1.453891526978544,421.9682272467114
Llama2-7B,32,32,32,4096,32,1,prefill,0.0493626237187499,83116.40133711303,1.4448099511057615,419.3324484416665
