Model,Device number,Seqlen,Pipeline parallelism,Tensor parallelism,Phase,Total Latency (s),Throughput (tokens/s),Energy per Token (mJ),Total power (W)
Llama2-13B,32,4096,40,1,prefill,3.7161410601875007,5514.753367526739,122.78969214852684,725.272794212183
Llama2-70B,8,4096,1,8,decoding,35.55142583416667,107.21485650057308,899.7842061945951,120.1485675550576
Llama2-70B,8,4096,1,8,end2end,38.29625919333334,117.18789875152756,892.1791304652019,128.87893737291802
Llama2-70B,8,4096,1,8,prefill,2.744833359166667,186.99919450820863,838.943600359449,189.9915260979411
Llama2-70B,8,4096,2,4,decoding,42.74637587283333,175.5662017377323,798.4405654742775,166.8154575394076
Llama2-70B,8,4096,2,4,end2end,46.441633134666674,188.3071806833157,790.5085360148375,175.19811525116978
Llama2-70B,8,4096,2,4,prefill,3.6952572618333335,277.4940333023996,734.9843297987568,233.8767192335048
Llama2-70B,8,4096,4,2,decoding,57.210428261694446,257.75697666918944,752.2644957788768,219.31815697931447
Llama2-70B,8,4096,4,2,end2end,62.81712651622222,271.2243401548103,743.6396378198883,225.92496072939903
Llama2-70B,8,4096,4,2,prefill,5.606698254527778,365.4958845541559,683.265632106969,272.1725869799908
Llama2-70B,8,4096,8,1,decoding,86.743188399875,335.36295057735373,743.3838884479483,269.15828630670654
Llama2-70B,8,4096,8,1,end2end,96.259147977,347.2580968358933,733.3539091596904,272.943106871552
Llama2-70B,8,4096,8,1,prefill,9.515959577125,430.52412064567113,663.1440541418845,299.43685082547006
Llama2-70B,8,4096,80,1,decoding,818.8812308676945,353.99637951702607,676.86964155819,254.7836864814486
Llama2-70B,8,4096,80,1,end2end,911.9479714602222,364.777061209155,671.4037314494988,258.50512341431875
Llama2-70B,8,4096,80,1,prefill,93.06674059252778,440.24183305405774,633.1423606886598,284.5551819444101
Llama2-70B,20,4096,1,20,decoding,34.234598290250005,111.93126187036329,1302.894478115713,203.9435163614457
Llama2-70B,20,4096,1,20,end2end,36.79131342885714,123.04423681144937,1295.21156030741,224.03418051987376
Llama2-70B,20,4096,1,20,prefill,2.5567151386071427,200.83506139905188,1241.43113564929,364.6688296288702
Llama2-70B,20,4096,2,10,decoding,37.12602019899999,204.2018517830584,1042.4773287292517,284.8187322889677
Llama2-70B,20,4096,2,10,end2end,40.09579561028571,221.86963501334543,1034.85927932004,306.754040902793
Llama2-70B,20,4096,2,10,prefill,2.9697754112857147,345.54411762535483,981.5329334555596,460.3012011995707
Llama2-70B,20,4096,4,5,decoding,43.547284650250006,343.8975746905927,914.3861702461214,396.9863303263034
Llama2-70B,20,4096,4,5,end2end,47.376313977428566,367.8538927418461,906.535879219193,418.5215234845382
Llama2-70B,20,4096,4,5,prefill,3.829029327178571,535.5481191006193,851.5838420306942,569.2678755921827
Llama2-70B,20,4096,5,4,decoding,44.662065977000005,418.3752233529932,798.4405654742775,417.0386438485192
Llama2-70B,20,4096,5,4,end2end,48.63099325371429,446.80097550380594,790.5085360148375,437.9952881279244
Llama2-70B,20,4096,5,4,prefill,3.968927276714288,645.7812405594956,734.9843297987568,584.6917980837618
Llama2-70B,20,4096,10,2,decoding,58.8426439735,625.5123001292194,752.2644957788768,548.2953924482862
Llama2-70B,20,4096,10,2,end2end,64.68251590114286,656.9751311240755,743.6396378198883,564.8124018234976
Llama2-70B,20,4096,10,2,prefill,5.839871927642856,877.2149480880676,683.265632106969,680.4314674499769
Llama2-70B,20,4096,20,1,decoding,87.83083488424998,827.7238101496715,743.3838884479483,672.8957157667661
Llama2-70B,20,4096,20,1,end2end,97.5021725305714,856.6347684739692,733.3539091596904,682.3577671788797
Llama2-70B,20,4096,20,1,prefill,9.671337646321428,1059.011476744052,663.1440541418845,748.592127063675
Llama2-70B,20,4096,80,1,decoding,309.73680637750005,936.390164561844,676.3869438322957,677.0630875158971
Llama2-70B,20,4096,80,1,end2end,344.71691407714286,965.7565844819788,671.1236396926947,687.532157850865
Llama2-70B,20,4096,80,1,prefill,34.98010769964286,1171.3215239229216,634.2805107154873,760.8156501956399
Llama2-70B,32,4096,1,32,decoding,36.478895362,104.13874199728468,1838.7256083068864,295.9865420261854
Llama2-70B,32,4096,1,32,end2end,39.356224368,113.41490062278154,1830.9648484196741,327.2557653175353
Llama2-70B,32,4096,1,32,prefill,2.8773290060000005,178.34801100125952,1776.6395292091877,546.1403283569841
Llama2-70B,32,4096,2,16,decoding,37.3938342365,202.5640999207267,1156.616455327637,352.79203275038424
Llama2-70B,32,4096,2,16,end2end,40.401868796,219.88492478103598,1148.9594848789707,385.7153236853879
Llama2-70B,32,4096,2,16,prefill,3.0080345595,341.1306988032007,1095.3606917383063,616.1783602304133
Llama2-70B,32,4096,4,8,decoding,40.13720057375,374.50834957414907,899.7842061945951,480.5942702202304
Llama2-70B,32,4096,4,8,end2end,43.537144610000006,403.11284055357964,892.1791304652019,515.5157494916721
Llama2-70B,32,4096,4,8,prefill,3.39994403625,603.344277409594,838.943600359449,759.9661043917644
Llama2-70B,32,4096,8,4,decoding,47.01314019575,633.1952505436988,798.4405654742775,667.2618301576304
Llama2-70B,32,4096,8,4,end2end,51.317935217999995,673.1037498023938,790.5085360148375,700.7924610046791
Llama2-70B,32,4096,8,4,prefill,4.30479502225,952.4632446132612,734.9843297987568,935.5068769340191
Llama2-70B,32,4096,16,2,decoding,60.845817801625,966.1409256058072,752.2644957788768,877.2726279172583
Llama2-70B,32,4096,16,2,end2end,66.97185741899999,1012.6123584422537,743.6396378198883,903.6998429175962
Llama2-70B,32,4096,16,2,prefill,6.126039617375,1337.9123882973804,683.265632106969,1088.690347919963
Llama2-70B,32,4096,32,1,decoding,89.1656737514375,1303.9738218462644,743.3838884479483,1076.6331452268262
Llama2-70B,32,4096,32,1,end2end,99.0277026645,1348.6824016667888,733.3539091596904,1091.7724274862078
Llama2-70B,32,4096,32,1,prefill,9.8620289130625,1661.6424604104575,663.1440541418845,1197.7474033018802
Llama2-70B,32,4096,80,1,decoding,249.705531352625,1160.7830714628024,698.3743890636923,863.9261830320135
Llama2-70B,32,4096,80,1,end2end,278.143131603,1195.7867313849029,692.6623076979863,876.3668610387524
Llama2-70B,32,4096,80,1,prefill,28.437600250375,1440.8123508396047,652.6777381380441,963.4516070859246
Llama2-7B,8,4096,1,8,decoding,6.089957435083334,617.0951371641468,100.02290174859948,92.6702618724308
Llama2-7B,8,4096,1,8,end2end,6.599316108666666,665.8803611701338,99.4196282280692,99.44369132856332
Llama2-7B,8,4096,1,8,prefill,0.5093586735833334,1007.3769292120436,95.19671358435735,146.85769752149093
Llama2-7B,8,4096,2,4,decoding,6.896274469833332,1084.139038470416,85.91951953358158,131.53932148646396
Llama2-7B,8,4096,2,4,end2end,7.503894278666666,1159.6020781299208,85.2386306612384,139.05226385548747
Llama2-7B,8,4096,2,4,prefill,0.6076198088333332,1687.8433557464568,80.47240855483625,191.6428604386521
Llama2-7B,8,4096,4,2,decoding,8.414987956166666,1760.860044413164,77.42474442306344,178.82965889225267
Llama2-7B,8,4096,4,2,end2end,9.205712809333331,1864.7983742174845,76.58084063920352,186.1208957529489
Llama2-7B,8,4096,4,2,prefill,0.7907248531666665,2592.3666828477285,70.673514152184,237.15955377782228
Llama2-7B,8,4096,8,1,decoding,11.577310160833337,2531.955020906232,76.36203700172344,233.6239862869473
Llama2-7B,8,4096,8,1,end2end,12.752087278666666,2651.46609099682,75.18815946726889,239.09994829741487
Llama2-7B,8,4096,8,1,prefill,1.1747771178333333,3488.043581630946,66.97101672608704,277.4316823706879
Llama2-7B,8,4096,32,1,decoding,40.34193976713889,2926.419445497459,71.32151554498755,236.4279023936717
Llama2-7B,8,4096,32,1,end2end,44.21070210644445,3090.558540850101,70.18059813456539,242.5731001700699
Llama2-7B,8,4096,32,1,prefill,3.868762339305555,4239.532208318592,62.19417626161022,285.5894846048574
Llama2-7B,20,4096,1,20,decoding,6.440422734500001,580.4199824134738,212.38763974756225,203.47233605668944
Llama2-7B,20,4096,1,20,end2end,6.999847879428572,622.47726938393,211.76879781125007,220.03289921541463
Llama2-7B,20,4096,1,20,prefill,0.5594251449285714,916.8782781771228,207.43690425706484,335.9568413264915
Llama2-7B,20,4096,2,10,decoding,6.490808137500001,1151.035512212948,122.8116010095794,227.80395031514792
Llama2-7B,20,4096,2,10,end2end,7.057431197142857,1233.4534951841931,122.20573275308551,244.8249110020208
Llama2-7B,20,4096,2,10,prefill,0.566623059642857,1810.37937598291,117.96465495762811,363.9716358101308
Llama2-7B,20,4096,4,5,decoding,7.118675649,2093.707624944941,98.75928890931696,312.1892248389489
Llama2-7B,20,4096,4,5,end2end,7.762298808000001,2230.2847892747745,98.09780387492704,330.9253738743081
Llama2-7B,20,4096,4,5,prefill,0.643623159,3186.32493958361,93.46740863419744,462.0784171218227
Llama2-7B,20,4096,5,4,decoding,7.243605198999999,2569.69226973148,85.91951953358158,328.84830371616
Llama2-7B,20,4096,5,4,end2end,7.9008436834285725,2736.0030131744425,85.2386306612384,347.6306596387187
Llama2-7B,20,4096,5,4,prefill,0.6572384844285714,3900.178217275185,80.47240855483625,479.1071510966301
Llama2-7B,20,4096,10,2,decoding,8.712188477,4242.141715452825,77.42474442306344,447.07414723063175
Llama2-7B,20,4096,10,2,end2end,9.545370547428572,4480.637881866724,76.58084063920352,465.30223938237214
Llama2-7B,20,4096,10,2,prefill,0.8331820704285713,6150.111046764005,70.673514152184,592.8988844445557
Llama2-7B,20,4096,20,1,decoding,11.774250265000004,6219.315313563863,76.36203700172344,584.0599657173681
Llama2-7B,20,4096,20,1,end2end,12.977161683428571,6506.400613970063,75.18815946726889,597.749870743537
Llama2-7B,20,4096,20,1,prefill,1.2029114184285714,8515.997716813472,66.97101672608704,693.5792059267196
Llama2-7B,20,4096,32,1,decoding,20.8846929875,5642.410912079808,72.80242987960956,471.8036684866364
Llama2-7B,20,4096,32,1,end2end,22.91741724742857,5945.526862694343,71.65054550767871,483.7252706726938
Llama2-7B,20,4096,32,1,prefill,2.0327242599285715,8067.3385169961075,63.58735490416278,567.1764859750955
Llama2-7B,32,4096,1,32,decoding,6.920990014499999,536.9242190144305,295.5114286662245,292.4193797434133
Llama2-7B,32,4096,1,32,end2end,7.549067628,571.8528475923567,294.8770183141304,317.7456215418127
Llama2-7B,32,4096,1,32,prefill,0.6280776134999999,816.3532476378402,290.4361458494717,495.0293141306082
Llama2-7B,32,4096,2,16,decoding,6.882073125125,1080.386718524369,171.68373273898573,328.7427973125251
Llama2-7B,32,4096,2,16,end2end,7.504591183,1151.254648547716,171.07008027460083,355.17431665982326
Llama2-7B,32,4096,2,16,prefill,0.6225180578749999,1647.3301587111448,166.77451302390674,540.1949520909105
Llama2-7B,32,4096,4,8,decoding,6.947297929875,2138.949662347642,100.02290174859948,370.68104748972326
Llama2-7B,32,4096,4,8,end2end,7.579133817,2277.322772440276,99.4196282280692,397.7747653142533
Llama2-7B,32,4096,4,8,prefill,0.6318358871249999,3245.9345430887142,95.19671358435735,587.4307900859638
Llama2-7B,32,4096,8,4,decoding,7.66987473025,3866.349344154693,85.91951953358158,526.1572859458558
Llama2-7B,32,4096,8,4,end2end,8.388008862,4096.794943056976,85.2386306612384,556.2090554219499
Llama2-7B,32,4096,8,4,prefill,0.7181341317499998,5709.914135372957,80.47240855483625,766.5714417546081
Llama2-7B,32,4096,16,2,decoding,9.076934570749996,6498.283304624449,77.42474442306344,715.3186355690107
Llama2-7B,32,4096,16,2,end2end,9.962223226,6843.51552516222,76.58084063920352,744.4835830117956
Llama2-7B,32,4096,16,2,prefill,0.88528865525,9260.141068926629,70.673514152184,948.6382151112892
Llama2-7B,32,4096,32,1,decoding,11.298388728125,10389.683416816686,76.35374669772342,934.393606282613
Llama2-7B,32,4096,32,1,end2end,12.433319927,10896.27778156285,75.17986916326888,956.2930741934748
Llama2-7B,32,4096,32,1,prefill,1.134931198875,14442.438334785997,66.96272642208704,1109.5893495695086
