Model,Device number,Seqlen,Pipeline parallelism,Tensor parallelism,Phase,Total Latency (s),Throughput (tokens/s),Energy per Token (mJ),Total power (W)
Llama2-13B,20,4096,1,20,decoding,3.930086711375,937.0880382910028,14.834467645416234,220.03066813135925
Llama2-13B,20,4096,1,20,end2end,4.311303670142857,988.0189782048656,14.79392489598417,219.42932210003227
Llama2-13B,20,4096,1,20,prefill,0.3812169587678572,1344.5355576019065,14.510125649959722,215.2198998807435
Llama2-13B,20,4096,2,10,decoding,3.891024211375,1894.069195762119,7.417233822708117,220.0306681313593
Llama2-13B,20,4096,2,10,end2end,4.266660813,1998.44912255842,7.396962447992085,219.42932210003232
Llama2-13B,20,4096,2,10,prefill,0.375636601625,2729.108610132528,7.255062824979861,215.21989988074355
Llama2-13B,20,4096,4,5,decoding,3.80679569575,3876.9556616247833,3.708616911354057,220.03066813135925
Llama2-13B,20,4096,4,5,end2end,4.170399652285714,4097.245211692906,3.698481223996042,219.42932210003227
Llama2-13B,20,4096,4,5,prefill,0.3636039565357143,5639.27206216977,3.62753141248993,215.2198998807435
Llama2-13B,20,4096,5,4,decoding,3.7848230395,4876.0439199125685,2.966893529083247,220.03066813135925
Llama2-13B,20,4096,5,4,end2end,4.145288045142857,5155.366379090929,2.958784979196835,219.42932210003227
Llama2-13B,20,4096,5,4,prefill,0.3604650056428571,7110.623593339456,2.902025129991945,215.2198998807435
Llama2-13B,20,4096,10,2,decoding,3.649324992625,10137.66732881696,1.4834467645416236,220.03066813135925
Llama2-13B,20,4096,10,2,end2end,3.990433134428572,10749.259876180786,1.4793924895984172,219.42932210003227
Llama2-13B,20,4096,10,2,prefill,0.3411081418035714,15030.407707727576,1.4510125649959724,215.2198998807435
Llama2-13B,20,4096,20,1,decoding,3.39663944575,21895.941121354645,0.7417233822708118,220.03066813135925
Llama2-13B,20,4096,20,1,end2end,3.701649652285714,23362.703638584047,0.7396962447992087,219.42932210003227
Llama2-13B,20,4096,20,1,prefill,0.3050102065357143,33630.041259189835,0.7255062824979862,215.2198998807435
Llama2-13B,20,4096,40,1,decoding,4.493254672749999,34918.57000480725,0.4090229603143635,221.5725678842707
Llama2-13B,20,4096,40,1,end2end,4.774700197428572,39723.46525478791,0.4080093915785618,221.023505730532
Llama2-13B,20,4096,40,1,prefill,0.2814455246785714,73357.7320046525,0.4009144104279507,217.1800706543613
Llama2-70B,32,4096,1,32,decoding,13.41092557,273.6867085669555,45.604557763773286,351.8870197822013
Llama2-70B,32,4096,1,32,end2end,14.750055279999998,287.31145003965827,45.39697888668111,350.28533091574946
Llama2-70B,32,4096,1,32,prefill,1.3391297099999997,382.6846403485777,43.94392674703594,339.0735088505861
Llama2-70B,32,4096,2,16,decoding,13.2400271325,554.7931619074683,22.802278881886643,351.8870197822013
Llama2-70B,32,4096,2,16,end2end,14.554742779999998,582.8950902223291,22.698489443340556,350.28533091574946
Llama2-70B,32,4096,2,16,prefill,1.3147156474999997,779.608588426355,21.97196337351797,339.0735088505861
Llama2-70B,32,4096,4,8,decoding,12.88114041375,1142.1325032255777,11.401139440943322,351.8870197822013
Llama2-70B,32,4096,4,8,end2end,14.144586529999998,1202.19285988426,11.349244721670278,350.28533091574946
Llama2-70B,32,4096,4,8,prefill,1.2634461162499997,1622.615356495039,10.985981686758985,339.0735088505861
Llama2-70B,32,4096,8,4,decoding,12.47098416375,2363.630245609163,5.700569720471661,351.8870197822013
Llama2-70B,32,4096,8,4,end2end,13.675836529999998,2493.601073072656,5.674622360835139,350.28533091574946
Llama2-70B,32,4096,8,4,prefill,1.2048523662499997,3403.396865317104,5.492990843379492,339.0735088505861
Llama2-70B,32,4096,16,2,decoding,11.659216585625,5077.467336759306,2.8502848602358304,351.8870197822013
Llama2-70B,32,4096,16,2,end2end,12.748102154999998,5384.485947121014,2.8373111804175695,350.28533091574946
Llama2-70B,32,4096,16,2,prefill,1.0888855693749997,7533.616219652962,2.746495421689746,339.0735088505861
Llama2-70B,32,4096,32,1,decoding,10.0997683434375,11855.028324182173,1.4251424301179152,351.8870197822013
Llama2-70B,32,4096,32,1,end2end,10.965875592499998,12742.890557199069,1.4186555902087845,350.28533091574946
Llama2-70B,32,4096,32,1,prefill,0.8661072490624999,18957.926188317328,1.373247710844873,339.0735088505861
Llama2-70B,32,4096,80,1,decoding,17.594366680625,18845.4526596089,0.5574779591055622,286.98994033748386
Llama2-70B,32,4096,80,1,end2end,18.377697235,23188.01045657428,0.5552886506362307,285.86288321041485
Llama2-70B,32,4096,80,1,prefill,0.783330554375,53585.91503533189,0.5399634913509106,277.9734833209322
Llama2-7B,8,4096,1,8,decoding,2.3610250830833333,1565.8208058894538,4.047523380990623,82.91386801439329
Llama2-7B,8,4096,1,8,end2end,2.5829710206666663,1658.8328114989908,4.037144437136014,82.70125444805011
Llama2-7B,8,4096,1,8,prefill,0.2219459375833333,2309.9168507657496,3.964491830153755,81.21295948364788
Llama2-7B,8,4096,2,4,decoding,2.3370993018333333,3165.808084236514,2.0237616904953115,82.91386801439329
Llama2-7B,8,4096,2,4,end2end,2.5556272706666663,3356.6180264260583,2.018572218568007,82.70125444805011
